Ngày,Mã,TC,Tr?n,Sàn,M?,?óng c?a,Cao,Th?p,Trung,Thay ??i giá,,Kh?i l??ng giao d?ch,,,Giá tr? giao dich (Tri?u VN?),,
,,,,,c?a,,nh?t,nh?t,bình,+/-,%,Kh?p l?nh,Th?a thu?n,T?ng c?ng,Kh?p l?nh,Th?a thu?n,T?ng c?ng
03/03/2017,VCB,36.9,39.45,34.35,37.2,37.5,37.6,36.9,37.21,0.6,1.63,"516,470",,"516,470","19,217",,"19,217"
02/03/2017,VCB,37.2,39.8,34.6,37.6,36.9,37.7,36.9,37.28,-0.3,-0.81,"1,147,120","215,000","1,362,120","42,766","8,536","51,302"
01/03/2017,VCB,37.4,40,34.8,37.4,37.2,37.6,37.2,37.38,-0.2,-0.53,"753,500","54,000","807,500","28,166","1,879","30,045"
28/02/2017,VCB,38.2,40.85,35.55,38.2,37.4,38.2,37.4,37.84,-0.8,-2.09,"703,780",,"703,780","26,633",,"26,633"
27/02/2017,VCB,37.45,40.05,34.85,37.2,38.2,38.35,37.2,37.83,0.75,2,"902,460","95,000","997,460","34,137","3,599","37,736"
24/02/2017,VCB,37.6,40.2,35,37.8,37.45,37.85,37.3,37.51,-0.15,-0.4,"785,650","221,140","1,006,790","29,470","8,284","37,754"
23/02/2017,VCB,37.9,40.55,35.25,37.9,37.6,38.2,37.55,37.79,-0.3,-0.79,"1,453,770","100,000","1,553,770","54,931","3,767","58,698"
22/02/2017,VCB,38.4,41.05,35.75,38.5,37.9,38.5,37.8,38.12,-0.5,-1.3,"802,090",,"802,090","30,573",,"30,573"
21/02/2017,VCB,37.95,40.6,35.3,38,38.4,38.45,37.95,38.18,0.45,1.19,"1,076,370",,"1,076,370","41,096",,"41,096"
20/02/2017,VCB,38.3,40.95,35.65,38.5,37.95,38.5,37.9,38.03,-0.35,-0.91,"1,322,360",,"1,322,360","50,289",,"50,289"
17/02/2017,VCB,38.6,41.3,35.9,38.7,38.3,38.75,38.3,38.53,-0.3,-0.78,"1,220,700",,"1,220,700","47,033",,"47,033"
16/02/2017,VCB,39,41.7,36.3,39.2,38.6,39.55,38.5,39.15,-0.4,-1.03,"1,359,740",,"1,359,740","53,239",,"53,239"
15/02/2017,VCB,38.7,41.4,36,38.85,39,39.3,38.6,39.02,0.3,0.78,"1,419,820",,"1,419,820","55,398",,"55,398"
14/02/2017,VCB,38.85,41.55,36.15,38.85,38.7,39.1,38.5,38.79,-0.15,-0.39,"1,325,510",,"1,325,510","51,422",,"51,422"
13/02/2017,VCB,39.3,42.05,36.55,39.3,38.85,39.3,38.7,38.98,-0.45,-1.15,"1,490,330",,"1,490,330","58,086",,"58,086"
10/02/2017,VCB,39.7,42.45,36.95,39.65,39.3,39.65,39.3,39.47,-0.4,-1.01,"1,754,030","200,000","1,954,030","69,225","7,888","77,113"
09/02/2017,VCB,39.75,42.5,37,39.85,39.7,39.9,39.5,39.69,-0.05,-0.13,"1,203,520",,"1,203,520","47,772",,"47,772"
08/02/2017,VCB,39.25,41.95,36.55,39.4,39.75,39.8,39.1,39.42,0.5,1.27,"1,792,740",,"1,792,740","70,676",,"70,676"
07/02/2017,VCB,38.7,41.4,36,38.8,39.25,39.25,38.75,39,0.55,1.42,"1,527,190",,"1,527,190","59,567",,"59,567"
06/02/2017,VCB,38.7,41.4,36,38.7,38.7,38.9,38.4,38.69,,,"1,288,900",,"1,288,900","49,862",,"49,862"
03/02/2017,VCB,39.45,42.2,36.7,39.5,38.7,39.5,38.7,39.08,-0.75,-1.9,"1,546,040","51,000","1,597,040","60,415","1,986","62,401"
02/02/2017,VCB,39.3,42.05,36.55,39.6,39.45,39.6,38.9,39.29,0.15,0.38,"1,368,580",,"1,368,580","53,777",,"53,777"
25/01/2017,VCB,38.6,41.3,35.9,38.9,39.3,39.3,38.4,38.89,0.7,1.81,"1,352,580",,"1,352,580","52,606",,"52,606"
24/01/2017,VCB,38.1,40.75,35.45,38.05,38.6,38.6,38,38.37,0.5,1.31,"899,030",,"899,030","34,494",,"34,494"
23/01/2017,VCB,38,40.65,35.35,38.35,38.1,38.35,37.95,38.06,0.1,0.26,"717,890",,"717,890","27,324",,"27,324"
20/01/2017,VCB,38,40.65,35.35,38.2,38,38.5,38,38.18,,,"908,930",,"908,930","34,702",,"34,702"
19/01/2017,VCB,38.3,40.95,35.65,38.4,38,38.5,38,38.21,-0.3,-0.78,"521,040",,"521,040","19,909",,"19,909"
18/01/2017,VCB,38.95,41.65,36.25,38.75,38.3,39.15,38.3,38.67,-0.65,-1.67,"1,143,460",,"1,143,460","44,214",,"44,214"
17/01/2017,VCB,37.35,39.95,34.75,37.5,38.95,39.15,37.5,38.37,1.6,4.28,"2,340,000",,"2,340,000","89,779",,"89,779"
16/01/2017,VCB,37.45,40.05,34.85,37.5,37.35,37.8,37.05,37.38,-0.1,-0.27,"641,920",,"641,920","23,993",,"23,993"
13/01/2017,VCB,37.9,40.55,35.25,37.6,37.45,38.3,37.45,37.8,-0.45,-1.19,"1,164,660",,"1,164,660","44,026",,"44,026"
12/01/2017,VCB,38.45,41.1,35.8,38.4,37.9,38.5,37.8,38.05,-0.55,-1.43,"1,863,070",,"1,863,070","70,897",,"70,897"
11/01/2017,VCB,38.4,41.05,35.75,38.4,38.45,38.75,38.25,38.44,0.05,0.13,"1,498,220",,"1,498,220","57,593",,"57,593"
10/01/2017,VCB,38.7,41.4,36,38.4,38.4,38.65,38.35,38.55,-0.3,-0.78,"1,234,210","105,330","1,339,540","47,575","4,059","51,634"
09/01/2017,VCB,37.9,40.55,35.25,38.2,38.7,38.95,38.1,38.66,0.8,2.11,"2,379,510",,"2,379,510","91,989",,"91,989"
06/01/2017,VCB,37.15,39.75,34.55,37.2,37.9,38.4,37.1,37.94,0.75,2.02,"2,495,910",,"2,495,910","94,697",,"94,697"
05/01/2017,VCB,37,39.55,34.45,36.9,37.15,37.3,36.85,37.11,0.15,0.41,"855,250",,"855,250","31,736",,"31,736"
04/01/2017,VCB,37.25,39.85,34.65,37.5,37,37.6,36.8,37.12,-0.25,-0.67,"1,339,740",,"1,339,740","49,734",,"49,734"
03/01/2017,VCB,35.45,37.9,33,35.6,37.25,37.5,35.6,36.89,1.8,5.08,"2,018,750",,"2,018,750","74,471",,"74,471"
